rank,year,airport,"code
(iata/icao)",location,country,"total
passengers"
1,2016,Hartsfield–Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,"104,171,935"
2,2016,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,"94,393,454"
3,2016,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,"83,654,250"
4,2016,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,"80,921,527"
5,2016,Tokyo International Airport,HND/RJTT,"Ota, Tokyo",Japan,"79,699,762"
6,2016,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,"78,327,479"
7,2016,Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom,"75,715,474"
8,2016,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,"70,314,462"
9,2016,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,"66,002,414"
10,2016,Charles de Gaulle Airport,CDG/LFPG,"Paris (Roissy-en-France), Île-de-France",France,"65,933,145"
11,2016,Dallas/Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,"65,670,697"
12,2016,Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland",The Netherlands,"63,625,534"
13,2016,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,"60,786,937"
14,2016,Istanbul Atatürk Airport,IST/LTBA,"Yesilköy, Istanbul",Turkey,"60,248,741"
15,2016,Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China,"59,732,147"
16,2016,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York",United States,"58,813,103"
17,2016,Singapore Changi Airport,SIN/WSSS,"Changi, Singapore",Singapore,"58,698,000"
18,2016,Denver International Airport,DEN/KDEN,"Denver, Colorado",United States,"58,266,515"
19,2016,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,"57,849,814"
20,2016,Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand,"55,892,428"
21,2016,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,"55,631,385"
22,2016,Soekarno–Hatta International Airport,CGK/WIII,"Benda, Tangerang, Banten",Indonesia,"54,969,536"
23,2016,San Francisco International Airport,SFO/KSFO,"San Mateo County, California",United States,"53,099,282"
24,2016,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,"52,640,043"
25,2016,Madrid Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain,"50,397,928"
26,2016,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States,"47,496,614"
27,2016,Chengdu Shuangliu International Airport,CTU/ZUUU,"Shuangliu-Wuhou, Chengdu, Sichuan",China,"46,039,137"
28,2016,Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States,"45,736,700"
29,2016,Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India,"44,680,555"
30,2016,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,"44,584,603"
31,2016,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States,"44,422,022"
32,2016,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada,"44,335,198"
33,2016,Barcelona–El Prat Airport,BCN/LEBL,"El Prat, Catalonia",Spain,"44,131,031"
34,2016,Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona",United States,"43,302,381"
35,2016,Gatwick Airport,LGW/EGKK,"Crawley, West Sussex",United Kingdom,"43,136,795"
36,2016,Taiwan Taoyuan International Airport,TPE/RCTP,"Dayuan, Taoyuan",Taiwan,"42,296,322"
37,2016,Munich Airport,MUC/EDDM,"Freising, Bavaria",Germany,"42,261,309"
38,2016,Sydney Kingsford-Smith Airport,SYD/YSSY,"Mascot, Sydney, New South Wales",Australia,"41,985,810"
39,2016,Kunming Changshui International Airport,KMG/ZPPP,"Guandu, Kunming, Yunnan",China,"41,980,515"
40,2016,Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China,"41,975,090"
41,2016,Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States,"41,923,399"
42,2016,Leonardo da Vinci–Fiumicino Airport,FCO/LIRF,"Fiumicino, Lazio",Italy,"41,738,662"
43,2016,George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas",United States,"41,622,594"
44,2016,Benito Juárez International Airport,MEX/MMMX,"Venustiano Carranza, Mexico City",Mexico,"41,410,254"
45,2016,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China,"40,460,135"
46,2016,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States,"40,289,969"
47,2016,Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines,"39,534,991"
48,2016,Narita International Airport,NRT/RJAA,"Narita, Chiba",Japan,"39,000,563"
49,2016,Minneapolis/St Paul International Airport,MSP/KMSP,"St. Paul, Minnesota",United States,"37,413,728"
50,2016,Hamad International Airport,DOH/OTHH,Doha,Qatar,"37,283,987"
1,2015,Hartsfield–Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,"101,491,106"
2,2015,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,"89,938,628"
3,2015,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,"78,014,841"
4,2015,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,"76,942,493"
5,2015,Tokyo Haneda Airport,HND/RJTT,"Ota, Tokyo",Japan,"75,316,718"
6,2015,London Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom,"74,989,795"
7,2015,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,"74,937,004"
8,2015,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,"68,283,407"
9,2015,Paris-Charles de Gaulle Airport,CDG/LFPG,"Roissy-en-France, Île-de-France",France,"65,766,986"
10,2015,Dallas/Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,"65,512,163"
11,2015,Istanbul Atatürk Airport,IST/LTBA,"Yesilköy, Istanbul",Turkey,"61,836,781"
12,2015,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,"61,032,022"
13,2015,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,"60,053,387"
14,2015,Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland",The Netherlands,"58,284,864"
15,2015,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York",United States,"56,827,154"
16,2015,Singapore Changi Airport,SIN/WSSS,Changi,Singapore,"55,449,000"
17,2015,Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China,"55,201,915"
18,2015,Soekarno-Hatta International Airport,CGK/WIII,"Tangerang, Banten",Indonesia,"54,053,905"
19,2015,Denver International Airport,DEN/KDEN,"Denver, Colorado",United States,"54,014,502"
20,2015,Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand,"52,808,013"
21,2015,San Francisco International Airport,SFO/KSFO,"San Mateo County, California",United States,"50,057,887"
22,2015,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,"49,412,750"
23,2015,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,"48,938,424"
24,2015,Madrid Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain,"46,779,554"
25,2015,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,"45,981,773"
26,2015,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States,"45,356,580"
27,2015,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States,"44,876,627"
28,2015,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,"44,350,247"
